,budget,area size,environmental type,project type,soil type,material
5589,356184,1294,Urban,Residential,Loamy,Composite
5590,555932,7286,Rural,Infrastructure,Sandy,Concrete
5591,72021,4514,Rural,Commercial,Sandy,Brick
5592,702485,7892,Suburban,Commercial,Sandy,Brick
5593,470115,5853,Coastal,Residential,Clay,Wood
5594,52291,3907,Rural,Residential,Loamy,Steel
5595,438276,1474,Mountain,Infrastructure,Sandy,Concrete
5596,404754,9739,Mountain,Commercial,Silty,Wood
5597,963680,4737,Coastal,Infrastructure,Sandy,Steel
5598,313664,7748,Mountain,Residential,Clay,Concrete
5599,35675,4869,Suburban,Industrial,Chalky,Composite
5600,683647,8550,Rural,Industrial,Loamy,Concrete
5601,272318,964,Suburban,Industrial,Chalky,Wood
5602,102268,5827,Coastal,Infrastructure,Chalky,Concrete
5603,307142,5915,Coastal,Commercial,Loamy,Concrete
5604,718672,8615,Suburban,Residential,Peaty,Concrete
5605,939616,787,Urban,Commercial,Silty,Composite
5606,639698,3695,Coastal,Commercial,Clay,Steel
5607,347369,9567,Rural,Residential,Loamy,Concrete
5608,841246,2492,Coastal,Commercial,Chalky,Brick
5609,357235,7950,Suburban,Industrial,Clay,Wood
5610,322863,3425,Suburban,Residential,Clay,Brick
5611,139887,1620,Mountain,Industrial,Peaty,Steel
5612,306063,5810,Urban,Infrastructure,Chalky,Wood
5613,345299,946,Suburban,Industrial,Sandy,Steel
5614,343713,7127,Mountain,Infrastructure,Clay,Wood
5615,837760,3396,Mountain,Infrastructure,Chalky,Brick
5616,211554,1221,Rural,Residential,Clay,Brick
5617,821050,2663,Mountain,Industrial,Peaty,Composite
5618,568963,4480,Urban,Industrial,Peaty,Steel
5619,505010,5002,Rural,Industrial,Sandy,Brick
5620,815351,2225,Suburban,Residential,Peaty,Wood
5621,800605,9385,Suburban,Infrastructure,Chalky,Concrete
5622,381513,3913,Mountain,Infrastructure,Loamy,Concrete
5623,822832,994,Coastal,Infrastructure,Peaty,Concrete
5624,191517,1447,Urban,Residential,Loamy,Composite
5625,80305,522,Urban,Residential,Sandy,Brick
5626,702924,1628,Mountain,Commercial,Silty,Steel
5627,449030,1057,Urban,Industrial,Clay,Steel
5628,482963,4230,Rural,Infrastructure,Clay,Composite
5629,623079,5841,Mountain,Commercial,Chalky,Wood
5630,169034,7498,Coastal,Commercial,Sandy,Brick
5631,488108,7682,Suburban,Industrial,Sandy,Brick
5632,604821,7534,Urban,Residential,Sandy,Wood
5633,197256,2156,Suburban,Commercial,Clay,Wood
5634,486128,4673,Coastal,Residential,Peaty,Brick
5635,900023,5941,Coastal,Residential,Clay,Brick
5636,675938,9498,Rural,Industrial,Clay,Concrete
5637,665348,3812,Coastal,Commercial,Clay,Steel
5638,683984,9145,Coastal,Infrastructure,Peaty,Concrete
5639,835626,2824,Urban,Commercial,Silty,Concrete
5640,382047,6095,Suburban,Infrastructure,Chalky,Steel
5641,403605,6484,Urban,Infrastructure,Silty,Composite
5642,371447,3011,Urban,Residential,Silty,Composite
5643,252188,862,Mountain,Infrastructure,Clay,Composite
5644,386047,3954,Mountain,Industrial,Silty,Composite
5645,863823,3298,Rural,Commercial,Clay,Wood
5646,247501,5120,Rural,Residential,Clay,Concrete
5647,941298,3755,Coastal,Residential,Chalky,Wood
5648,330146,1717,Rural,Infrastructure,Sandy,Wood
5649,307675,1985,Rural,Residential,Clay,Steel
5650,718175,5849,Coastal,Industrial,Silty,Composite
5651,539274,7695,Suburban,Industrial,Chalky,Brick
5652,828730,8250,Coastal,Residential,Loamy,Composite
5653,273625,6579,Coastal,Residential,Loamy,Concrete
5654,852840,9899,Suburban,Industrial,Loamy,Wood
5655,210339,8535,Coastal,Infrastructure,Silty,Concrete
5656,656238,2007,Mountain,Residential,Sandy,Wood
5657,944339,1503,Rural,Infrastructure,Peaty,Wood
5658,135355,6903,Coastal,Residential,Sandy,Wood
5659,37798,1425,Urban,Industrial,Chalky,Brick
5660,625937,8775,Rural,Residential,Sandy,Composite
5661,337031,7083,Mountain,Residential,Loamy,Wood
5662,29477,4427,Mountain,Residential,Sandy,Steel
5663,420482,1485,Coastal,Industrial,Chalky,Wood
5664,227400,4731,Suburban,Industrial,Chalky,Composite
5665,227060,5802,Urban,Industrial,Loamy,Composite
5666,399959,5791,Coastal,Commercial,Silty,Brick
5667,971030,1408,Suburban,Commercial,Clay,Wood
5668,521181,5551,Mountain,Commercial,Peaty,Steel
5669,517831,3086,Rural,Commercial,Peaty,Brick
5670,923858,9835,Mountain,Industrial,Loamy,Brick
5671,415105,1831,Coastal,Residential,Peaty,Wood
5672,296479,7351,Suburban,Industrial,Sandy,Wood
5673,938758,2306,Coastal,Commercial,Chalky,Brick
5674,358754,1305,Mountain,Infrastructure,Chalky,Brick
5675,283586,4647,Urban,Infrastructure,Loamy,Brick
5676,842721,571,Mountain,Industrial,Chalky,Concrete
5677,850179,527,Coastal,Residential,Clay,Brick
5678,833759,9160,Suburban,Commercial,Chalky,Composite
5679,943703,4483,Coastal,Residential,Chalky,Steel
5680,344971,9455,Rural,Residential,Sandy,Steel
5681,640752,7555,Rural,Residential,Silty,Wood
5682,141184,7190,Suburban,Commercial,Peaty,Brick
5683,97051,4332,Mountain,Industrial,Sandy,Steel
5684,160653,1059,Coastal,Commercial,Sandy,Steel
5685,255300,8457,Rural,Commercial,Sandy,Composite
5686,594010,4331,Urban,Industrial,Peaty,Composite
5687,102036,7844,Rural,Industrial,Loamy,Concrete
5688,762922,5671,Mountain,Industrial,Sandy,Concrete
5689,157595,578,Suburban,Infrastructure,Silty,Steel
5690,863392,5429,Urban,Infrastructure,Loamy,Wood
5691,782997,4147,Coastal,Industrial,Chalky,Steel
5692,291696,1531,Coastal,Residential,Silty,Wood
5693,526612,7881,Suburban,Infrastructure,Loamy,Steel
5694,151880,2572,Urban,Commercial,Chalky,Composite
5695,245419,7411,Urban,Commercial,Chalky,Brick
5696,164692,6588,Urban,Infrastructure,Sandy,Steel
5697,273031,1984,Suburban,Commercial,Sandy,Concrete
5698,303946,6338,Suburban,Industrial,Peaty,Wood
5699,619312,2050,Coastal,Commercial,Clay,Wood
5700,498765,5997,Rural,Infrastructure,Silty,Steel
5701,780097,5182,Mountain,Residential,Peaty,Wood
5702,652927,2329,Coastal,Commercial,Peaty,Concrete
5703,914680,4251,Urban,Commercial,Silty,Composite
5704,616226,6581,Rural,Residential,Loamy,Brick
5705,227813,7101,Mountain,Infrastructure,Silty,Brick
5706,786388,4959,Urban,Residential,Chalky,Wood
5707,394890,4356,Suburban,Commercial,Clay,Steel
5708,822481,6682,Rural,Infrastructure,Loamy,Wood
5709,349933,6583,Suburban,Industrial,Sandy,Concrete
5710,618814,8470,Mountain,Infrastructure,Clay,Steel
5711,411062,2594,Mountain,Infrastructure,Clay,Composite
5712,493779,6738,Urban,Industrial,Sandy,Concrete
5713,507952,3532,Suburban,Infrastructure,Clay,Composite
5714,580508,2048,Coastal,Commercial,Loamy,Steel
5715,842595,9059,Coastal,Commercial,Loamy,Composite
5716,406981,564,Suburban,Commercial,Loamy,Concrete
5717,389270,3799,Mountain,Commercial,Peaty,Concrete
5718,877918,5349,Rural,Industrial,Peaty,Wood
5719,972774,6139,Suburban,Commercial,Loamy,Steel
5720,85277,2535,Urban,Infrastructure,Sandy,Brick
5721,529570,6174,Coastal,Residential,Sandy,Brick
5722,493455,2728,Urban,Industrial,Silty,Composite
5723,900677,6120,Rural,Industrial,Silty,Brick
5724,132332,1096,Coastal,Residential,Loamy,Brick
5725,244231,4106,Coastal,Commercial,Clay,Concrete
5726,557219,4389,Coastal,Commercial,Clay,Concrete
5727,99116,4006,Urban,Infrastructure,Sandy,Concrete
5728,261671,1895,Mountain,Commercial,Clay,Brick
5729,852065,8029,Urban,Commercial,Chalky,Composite
5730,483918,8803,Mountain,Infrastructure,Peaty,Steel
5731,586201,952,Suburban,Commercial,Clay,Wood
5732,784504,7836,Coastal,Residential,Clay,Composite
5733,629064,3131,Urban,Commercial,Silty,Concrete
5734,35991,2686,Rural,Residential,Chalky,Composite
5735,524265,6467,Rural,Residential,Clay,Steel
5736,720205,6874,Mountain,Residential,Peaty,Concrete
5737,638380,5858,Mountain,Commercial,Clay,Steel
5738,239577,4848,Coastal,Commercial,Sandy,Wood
5739,720672,1959,Mountain,Industrial,Chalky,Composite
5740,413777,2442,Rural,Infrastructure,Clay,Wood
5741,944405,5922,Urban,Infrastructure,Chalky,Brick
5742,771401,5696,Urban,Industrial,Clay,Composite
5743,105556,561,Mountain,Residential,Peaty,Brick
5744,859307,1994,Mountain,Infrastructure,Peaty,Steel
5745,166989,1680,Rural,Industrial,Chalky,Brick
5746,334264,6768,Suburban,Residential,Loamy,Steel
5747,405204,3288,Urban,Industrial,Silty,Wood
5748,516961,5136,Mountain,Commercial,Silty,Concrete
5749,906473,5221,Coastal,Commercial,Sandy,Wood
5750,662755,6210,Mountain,Residential,Loamy,Brick
5751,530616,8202,Mountain,Residential,Silty,Steel
5752,417472,605,Urban,Commercial,Chalky,Brick
5753,390634,9846,Mountain,Infrastructure,Silty,Concrete
5754,753088,4587,Coastal,Infrastructure,Sandy,Composite
5755,660443,4425,Coastal,Commercial,Clay,Composite
5756,300374,2408,Coastal,Infrastructure,Silty,Composite
5757,508682,2549,Rural,Commercial,Chalky,Brick
5758,69778,9966,Coastal,Industrial,Chalky,Composite
5759,55833,9637,Urban,Industrial,Sandy,Steel
5760,819057,8672,Suburban,Industrial,Sandy,Concrete
5761,566376,4404,Mountain,Infrastructure,Peaty,Wood
5762,745010,4296,Mountain,Industrial,Peaty,Steel
5763,968671,792,Mountain,Residential,Peaty,Concrete
5764,376081,6766,Coastal,Residential,Clay,Wood
5765,474507,6870,Coastal,Industrial,Chalky,Composite
5766,206375,5360,Coastal,Residential,Peaty,Wood
5767,86361,4229,Suburban,Industrial,Chalky,Brick
5768,360373,8462,Suburban,Industrial,Sandy,Brick
5769,145189,6010,Suburban,Commercial,Clay,Composite
5770,624553,9119,Suburban,Industrial,Sandy,Composite
5771,532154,7261,Suburban,Residential,Chalky,Steel
5772,632006,6610,Mountain,Infrastructure,Loamy,Steel
5773,332854,7455,Mountain,Industrial,Loamy,Brick
5774,629164,606,Suburban,Commercial,Peaty,Concrete
5775,994558,5254,Mountain,Residential,Loamy,Steel
5776,40949,5778,Suburban,Commercial,Sandy,Concrete
5777,950051,6908,Suburban,Industrial,Loamy,Brick
5778,747242,8135,Suburban,Industrial,Silty,Steel
5779,864568,1725,Mountain,Industrial,Clay,Concrete
5780,121541,4750,Rural,Industrial,Chalky,Concrete
5781,729979,1395,Rural,Residential,Peaty,Steel
5782,71842,2120,Rural,Infrastructure,Sandy,Composite
5783,498019,5588,Urban,Industrial,Clay,Wood
5784,242930,5919,Rural,Commercial,Peaty,Composite
5785,299134,1885,Rural,Residential,Sandy,Wood
5786,681553,2933,Rural,Residential,Loamy,Concrete
5787,302253,1801,Coastal,Residential,Chalky,Steel
5788,140356,7358,Suburban,Commercial,Silty,Brick
5789,946737,9450,Mountain,Infrastructure,Silty,Steel
5790,778917,9438,Coastal,Commercial,Loamy,Composite
5791,747090,9284,Suburban,Commercial,Chalky,Wood
5792,924565,6144,Rural,Commercial,Clay,Steel
5793,699870,5588,Rural,Industrial,Chalky,Wood
5794,797738,9760,Coastal,Industrial,Loamy,Composite
5795,13849,5940,Mountain,Commercial,Sandy,Composite
5796,22360,7993,Coastal,Commercial,Clay,Steel
5797,383216,6791,Coastal,Industrial,Silty,Brick
5798,787567,3807,Suburban,Industrial,Loamy,Brick
5799,629055,9394,Urban,Infrastructure,Sandy,Wood
5800,271445,5208,Mountain,Commercial,Loamy,Steel
5801,711160,604,Mountain,Residential,Peaty,Concrete
5802,531658,4333,Coastal,Infrastructure,Peaty,Composite
5803,440179,895,Coastal,Residential,Peaty,Wood
5804,64330,4017,Rural,Infrastructure,Silty,Composite
5805,61707,3791,Coastal,Commercial,Chalky,Wood
5806,290833,2510,Suburban,Residential,Clay,Steel
5807,563372,5037,Rural,Industrial,Silty,Wood
5808,50387,5468,Urban,Infrastructure,Sandy,Wood
5809,871248,5262,Suburban,Residential,Sandy,Concrete
5810,536930,1551,Mountain,Infrastructure,Peaty,Wood
5811,838569,3341,Mountain,Commercial,Clay,Brick
5812,483048,7118,Suburban,Residential,Peaty,Wood
5813,196633,5223,Coastal,Residential,Sandy,Wood
5814,858692,7972,Coastal,Residential,Sandy,Steel
5815,680798,8413,Coastal,Infrastructure,Chalky,Wood
5816,844874,6024,Mountain,Industrial,Chalky,Concrete
5817,899493,4084,Suburban,Industrial,Chalky,Steel
5818,406210,9039,Coastal,Industrial,Peaty,Composite
5819,788799,1763,Rural,Commercial,Loamy,Brick
5820,397988,5165,Mountain,Residential,Clay,Brick
5821,371719,8514,Suburban,Industrial,Chalky,Composite
5822,798245,1851,Suburban,Industrial,Silty,Wood
5823,889459,7480,Suburban,Residential,Chalky,Concrete
5824,919921,7690,Suburban,Commercial,Peaty,Concrete
5825,94381,4327,Urban,Infrastructure,Clay,Concrete
5826,784168,9361,Rural,Infrastructure,Chalky,Concrete
5827,851708,3146,Urban,Infrastructure,Clay,Wood
5828,837675,766,Coastal,Residential,Silty,Composite
5829,203984,7934,Urban,Commercial,Sandy,Composite
5830,70272,1522,Urban,Residential,Clay,Brick
5831,505916,8447,Mountain,Infrastructure,Loamy,Composite
5832,707411,2537,Suburban,Industrial,Chalky,Concrete
5833,748096,9256,Urban,Industrial,Peaty,Wood
5834,263091,8278,Suburban,Industrial,Loamy,Steel
5835,862050,1559,Rural,Infrastructure,Loamy,Steel
5836,274064,1924,Urban,Commercial,Peaty,Concrete
5837,116121,4623,Mountain,Infrastructure,Peaty,Brick
5838,480435,719,Mountain,Residential,Peaty,Steel
5839,611160,905,Coastal,Commercial,Loamy,Concrete
5840,877564,2818,Urban,Industrial,Clay,Wood
5841,274237,9483,Rural,Commercial,Peaty,Steel
5842,285049,5558,Suburban,Commercial,Sandy,Concrete
5843,656047,1809,Urban,Infrastructure,Loamy,Steel
5844,427567,8121,Coastal,Commercial,Loamy,Wood
5845,303125,5429,Mountain,Infrastructure,Loamy,Composite
5846,870335,9202,Urban,Residential,Silty,Composite
5847,867253,9183,Coastal,Commercial,Clay,Wood
5848,381344,2117,Rural,Commercial,Clay,Wood
5849,92289,2020,Suburban,Commercial,Peaty,Composite
5850,650794,8392,Rural,Industrial,Loamy,Wood
5851,612801,2083,Rural,Infrastructure,Loamy,Wood
5852,423090,7204,Suburban,Infrastructure,Peaty,Wood
5853,716291,8488,Urban,Industrial,Clay,Composite
5854,410890,7083,Suburban,Infrastructure,Peaty,Composite
5855,322660,2075,Coastal,Residential,Peaty,Steel
5856,269480,7435,Rural,Industrial,Peaty,Composite
5857,796331,6676,Suburban,Infrastructure,Peaty,Steel
5858,726046,9738,Mountain,Residential,Peaty,Composite
5859,498067,3113,Suburban,Infrastructure,Chalky,Brick
5860,341356,4392,Suburban,Industrial,Chalky,Steel
5861,143498,9153,Coastal,Infrastructure,Loamy,Wood
5862,264024,7233,Rural,Residential,Loamy,Brick
5863,665258,4931,Coastal,Residential,Chalky,Composite
5864,100009,8612,Coastal,Residential,Clay,Composite
5865,733858,1881,Mountain,Infrastructure,Silty,Brick
5866,433159,9837,Coastal,Industrial,Clay,Concrete
5867,731755,4015,Coastal,Infrastructure,Loamy,Wood
5868,54816,4954,Mountain,Commercial,Chalky,Steel
5869,14138,8269,Urban,Industrial,Clay,Brick
5870,101176,6989,Coastal,Commercial,Silty,Steel
5871,348089,8884,Suburban,Infrastructure,Peaty,Composite
5872,800449,4034,Coastal,Industrial,Sandy,Concrete
5873,806883,1255,Rural,Commercial,Chalky,Concrete
5874,728316,3025,Suburban,Infrastructure,Chalky,Steel
5875,366007,1327,Suburban,Industrial,Silty,Composite
5876,806710,9581,Urban,Residential,Peaty,Concrete
5877,231552,5248,Rural,Residential,Peaty,Wood
5878,53764,2833,Rural,Residential,Sandy,Composite
5879,133030,5446,Rural,Commercial,Peaty,Brick
5880,928638,8802,Coastal,Commercial,Silty,Brick
5881,859375,8546,Coastal,Infrastructure,Loamy,Brick
5882,629955,9484,Suburban,Residential,Peaty,Wood
5883,326462,7681,Urban,Commercial,Loamy,Composite
5884,899855,3914,Coastal,Residential,Loamy,Steel
5885,376142,6957,Coastal,Infrastructure,Silty,Steel
5886,70128,7249,Urban,Industrial,Chalky,Composite
5887,229128,796,Rural,Commercial,Chalky,Wood
5888,818301,1068,Suburban,Commercial,Chalky,Composite
5889,243540,5783,Coastal,Industrial,Clay,Steel
5890,15039,8164,Urban,Commercial,Chalky,Composite
5891,162353,8011,Urban,Infrastructure,Silty,Brick
5892,122935,5965,Rural,Commercial,Sandy,Composite
5893,544730,8763,Mountain,Commercial,Peaty,Concrete
5894,870220,4882,Mountain,Industrial,Chalky,Composite
5895,916161,565,Mountain,Infrastructure,Clay,Steel
5896,299730,1379,Mountain,Residential,Loamy,Steel
5897,63053,8759,Coastal,Residential,Clay,Steel
5898,191561,9908,Urban,Industrial,Silty,Brick
5899,748464,7722,Suburban,Infrastructure,Sandy,Steel
5900,96346,5569,Coastal,Industrial,Chalky,Concrete
5901,339231,3739,Mountain,Industrial,Chalky,Composite
5902,415841,1007,Suburban,Residential,Clay,Wood
5903,568685,8204,Suburban,Infrastructure,Silty,Steel
5904,330815,1625,Mountain,Infrastructure,Clay,Composite
5905,126214,1385,Suburban,Industrial,Clay,Brick
5906,495001,3341,Coastal,Residential,Sandy,Composite
5907,863329,8475,Rural,Infrastructure,Silty,Steel
5908,691509,7065,Coastal,Industrial,Sandy,Steel
5909,987534,6583,Coastal,Commercial,Silty,Steel
5910,997410,5370,Rural,Residential,Chalky,Concrete
5911,408499,3025,Mountain,Infrastructure,Peaty,Composite
5912,410826,9617,Mountain,Infrastructure,Loamy,Wood
5913,446542,4715,Rural,Infrastructure,Peaty,Concrete
5914,287068,2438,Coastal,Residential,Silty,Wood
5915,647431,3732,Urban,Industrial,Peaty,Steel
5916,382397,4244,Suburban,Commercial,Clay,Wood
5917,372441,6721,Suburban,Infrastructure,Chalky,Wood
5918,797301,3965,Suburban,Residential,Loamy,Concrete
5919,893520,940,Urban,Infrastructure,Loamy,Concrete
5920,797446,961,Coastal,Industrial,Loamy,Composite
5921,544391,9303,Mountain,Commercial,Chalky,Wood
5922,485738,5913,Rural,Infrastructure,Peaty,Concrete
5923,906749,6255,Suburban,Residential,Loamy,Composite
5924,436674,5512,Urban,Industrial,Loamy,Wood
5925,92409,3663,Rural,Commercial,Silty,Wood
5926,33248,7252,Coastal,Residential,Clay,Steel
5927,492376,505,Urban,Infrastructure,Silty,Concrete
5928,708876,5276,Urban,Residential,Peaty,Brick
5929,956565,7538,Rural,Commercial,Chalky,Concrete
5930,689530,6914,Rural,Industrial,Chalky,Steel
5931,18024,6239,Suburban,Industrial,Silty,Composite
5932,485430,4470,Coastal,Infrastructure,Sandy,Concrete
5933,244864,3106,Rural,Infrastructure,Silty,Wood
5934,882379,598,Suburban,Infrastructure,Sandy,Brick
5935,184875,1025,Suburban,Infrastructure,Silty,Composite
5936,946800,6837,Rural,Commercial,Sandy,Concrete
5937,363973,1680,Urban,Infrastructure,Sandy,Composite
5938,889140,8567,Urban,Residential,Loamy,Wood
5939,883096,9830,Urban,Commercial,Loamy,Brick
5940,421473,4991,Suburban,Commercial,Sandy,Wood
5941,153927,6422,Urban,Infrastructure,Sandy,Brick
5942,95178,3571,Coastal,Commercial,Clay,Composite
5943,897553,6141,Urban,Residential,Sandy,Concrete
5944,526540,7881,Urban,Commercial,Loamy,Brick
5945,816457,3292,Suburban,Commercial,Sandy,Wood
5946,407674,5278,Mountain,Residential,Chalky,Brick
5947,73610,514,Coastal,Residential,Clay,Composite
5948,605131,2915,Suburban,Commercial,Sandy,Composite
5949,641525,3185,Coastal,Industrial,Loamy,Composite
5950,487177,9928,Coastal,Commercial,Loamy,Concrete
5951,715191,8659,Urban,Residential,Peaty,Composite
5952,708787,8426,Coastal,Residential,Loamy,Concrete
5953,497025,4600,Urban,Residential,Clay,Steel
5954,664587,6874,Coastal,Industrial,Loamy,Brick
5955,441722,6504,Mountain,Residential,Chalky,Wood
5956,15668,6021,Coastal,Infrastructure,Silty,Concrete
5957,232542,7655,Rural,Infrastructure,Chalky,Concrete
5958,188267,3797,Urban,Industrial,Chalky,Wood
5959,869665,3133,Mountain,Residential,Clay,Brick
5960,165489,4390,Urban,Residential,Clay,Composite
5961,354126,1291,Mountain,Infrastructure,Peaty,Brick
5962,640421,9691,Urban,Infrastructure,Loamy,Concrete
5963,807183,651,Rural,Commercial,Peaty,Composite
5964,318362,3563,Rural,Industrial,Clay,Steel
5965,923081,6867,Mountain,Commercial,Loamy,Wood
5966,803784,8404,Suburban,Industrial,Clay,Brick
5967,744412,2591,Urban,Residential,Clay,Composite
5968,98835,5099,Suburban,Residential,Silty,Wood
5969,631781,7908,Coastal,Industrial,Chalky,Brick
5970,825359,3477,Rural,Commercial,Peaty,Concrete
5971,706454,1342,Urban,Infrastructure,Peaty,Concrete
5972,111948,4293,Rural,Industrial,Sandy,Concrete
5973,195194,2159,Coastal,Industrial,Silty,Steel
5974,563781,9289,Mountain,Industrial,Clay,Concrete
5975,476755,5662,Urban,Residential,Clay,Concrete
5976,303851,6946,Urban,Industrial,Silty,Concrete
5977,734174,4770,Urban,Residential,Loamy,Composite
5978,148368,4103,Mountain,Infrastructure,Peaty,Wood
5979,166470,7264,Rural,Infrastructure,Clay,Steel
5980,307986,1716,Mountain,Commercial,Sandy,Brick
5981,23261,2791,Rural,Residential,Peaty,Steel
5982,86709,4311,Urban,Infrastructure,Chalky,Wood
5983,630273,5493,Mountain,Infrastructure,Silty,Concrete
5984,378760,5642,Coastal,Commercial,Peaty,Concrete
5985,984208,7362,Mountain,Commercial,Chalky,Brick
5986,863605,9623,Rural,Commercial,Sandy,Steel
5987,303925,7033,Urban,Residential,Loamy,Steel
5988,285796,8026,Rural,Industrial,Silty,Brick
5989,277247,3478,Suburban,Residential,Loamy,Steel
5990,297644,5847,Urban,Commercial,Clay,Steel
5991,780692,8433,Coastal,Industrial,Loamy,Steel
5992,634624,5095,Coastal,Infrastructure,Clay,Brick
5993,438745,6711,Suburban,Residential,Chalky,Brick
5994,647787,2670,Rural,Commercial,Peaty,Wood
5995,683812,9027,Coastal,Commercial,Sandy,Steel
5996,845825,9868,Rural,Industrial,Chalky,Wood
5997,434390,3521,Urban,Residential,Sandy,Composite
5998,467666,9470,Mountain,Infrastructure,Loamy,Composite
5999,700796,8336,Urban,Infrastructure,Sandy,Steel
6000,319550,1685,Rural,Industrial,Loamy,Concrete
6001,335203,3785,Suburban,Industrial,Sandy,Composite
6002,681314,3947,Urban,Infrastructure,Silty,Concrete
6003,354866,4491,Coastal,Industrial,Chalky,Wood
6004,785107,9630,Urban,Industrial,Silty,Steel
6005,546644,5399,Urban,Residential,Peaty,Wood
6006,662416,2435,Urban,Industrial,Peaty,Wood
6007,12187,9325,Suburban,Commercial,Clay,Brick
6008,873675,9945,Rural,Commercial,Clay,Steel
6009,831530,9774,Suburban,Commercial,Clay,Brick
6010,495687,1785,Coastal,Industrial,Peaty,Wood
6011,686585,9045,Rural,Infrastructure,Sandy,Concrete
6012,668966,7979,Coastal,Commercial,Loamy,Steel
6013,854052,5755,Rural,Residential,Sandy,Steel
6014,436044,2385,Rural,Industrial,Chalky,Composite
6015,136270,5562,Urban,Infrastructure,Peaty,Concrete
6016,953993,7566,Urban,Infrastructure,Loamy,Concrete
6017,810819,3522,Suburban,Industrial,Loamy,Wood
6018,341607,5765,Rural,Industrial,Loamy,Wood
6019,999336,2047,Coastal,Residential,Clay,Wood
6020,777286,4704,Urban,Industrial,Loamy,Composite
6021,930095,8090,Coastal,Industrial,Loamy,Concrete
6022,775791,1868,Urban,Infrastructure,Peaty,Brick
6023,976020,2257,Rural,Commercial,Sandy,Concrete
6024,363827,5417,Coastal,Commercial,Sandy,Brick
6025,596349,3984,Suburban,Infrastructure,Silty,Steel
6026,769785,3552,Suburban,Industrial,Silty,Brick
6027,994240,8882,Suburban,Residential,Chalky,Steel
6028,91257,1432,Urban,Commercial,Peaty,Wood
6029,71753,4737,Urban,Industrial,Silty,Concrete
6030,881206,7740,Suburban,Commercial,Silty,Wood
6031,414303,3738,Coastal,Infrastructure,Peaty,Concrete
6032,434032,1065,Urban,Commercial,Sandy,Brick
6033,33408,5878,Suburban,Infrastructure,Chalky,Concrete
6034,134116,6058,Urban,Infrastructure,Chalky,Brick
6035,665496,9826,Mountain,Infrastructure,Chalky,Concrete
6036,27413,1243,Coastal,Residential,Silty,Steel
6037,647938,9364,Rural,Industrial,Sandy,Brick
6038,69500,9222,Coastal,Infrastructure,Chalky,Wood
6039,880946,5909,Rural,Infrastructure,Peaty,Wood
6040,66358,9253,Suburban,Commercial,Chalky,Wood
6041,76197,6129,Urban,Industrial,Clay,Wood
6042,503992,6818,Suburban,Residential,Sandy,Steel
6043,758149,801,Rural,Residential,Clay,Steel
6044,233492,4267,Mountain,Commercial,Sandy,Composite
6045,795833,4780,Rural,Residential,Loamy,Composite
6046,436070,8006,Urban,Commercial,Peaty,Composite
6047,86240,9201,Mountain,Industrial,Loamy,Composite
6048,245595,7462,Urban,Commercial,Silty,Concrete
6049,532710,5929,Mountain,Commercial,Silty,Brick
6050,755423,7748,Urban,Infrastructure,Loamy,Wood
6051,288466,3945,Rural,Residential,Sandy,Concrete
6052,909485,2703,Rural,Industrial,Chalky,Steel
6053,16968,3334,Rural,Industrial,Clay,Wood
6054,299662,9486,Rural,Infrastructure,Peaty,Brick
6055,848357,2979,Mountain,Commercial,Chalky,Brick
6056,200920,5356,Coastal,Industrial,Silty,Steel
6057,908332,934,Coastal,Industrial,Chalky,Wood
6058,889854,2206,Suburban,Commercial,Loamy,Composite
6059,273844,8760,Coastal,Commercial,Loamy,Wood
6060,890214,6225,Suburban,Industrial,Clay,Wood
6061,242076,2404,Rural,Commercial,Silty,Brick
6062,33199,7518,Urban,Residential,Sandy,Steel
6063,447805,4459,Coastal,Industrial,Peaty,Wood
6064,173187,7325,Coastal,Commercial,Loamy,Concrete
6065,465150,6847,Rural,Industrial,Peaty,Concrete
6066,519551,6656,Rural,Industrial,Silty,Steel
6067,523942,3213,Coastal,Infrastructure,Sandy,Composite
6068,719676,6694,Rural,Residential,Loamy,Wood
6069,15520,7012,Coastal,Residential,Clay,Wood
6070,644102,7367,Urban,Infrastructure,Peaty,Brick
6071,177527,4227,Urban,Infrastructure,Silty,Wood
6072,780644,4046,Suburban,Industrial,Peaty,Composite
6073,657652,2803,Coastal,Residential,Sandy,Wood
6074,969109,4181,Urban,Infrastructure,Clay,Wood
6075,549243,8352,Urban,Commercial,Sandy,Brick
6076,185121,3721,Mountain,Industrial,Loamy,Concrete
6077,679277,4874,Urban,Residential,Chalky,Concrete
6078,997797,1582,Suburban,Industrial,Sandy,Composite
6079,481797,9137,Urban,Industrial,Sandy,Steel
6080,260144,2092,Rural,Commercial,Peaty,Steel
6081,74925,6108,Mountain,Commercial,Sandy,Brick
6082,379360,6026,Coastal,Infrastructure,Silty,Wood
6083,604557,5679,Suburban,Commercial,Loamy,Brick
6084,958458,6972,Urban,Residential,Peaty,Concrete
6085,313602,3275,Coastal,Infrastructure,Peaty,Composite
6086,361181,2090,Urban,Residential,Chalky,Steel
6087,686473,6504,Mountain,Residential,Loamy,Wood
6088,109977,7730,Coastal,Infrastructure,Silty,Steel
6089,515838,2731,Rural,Commercial,Loamy,Concrete
6090,529163,5618,Rural,Industrial,Sandy,Wood
6091,493442,6954,Coastal,Commercial,Chalky,Concrete
6092,840371,8460,Rural,Residential,Silty,Steel
6093,39345,2061,Suburban,Residential,Chalky,Steel
